,0
0,0xb768a6321c1570fc222dfdd0ea03032ddd224cdd
1,0x2df7046bf3d0b68ee84ff80b3629deca88755b77
2,0x2da56c897bf05444561be045b811aad7cade8187
3,0x6d1783a1e3fa50c780bbcf3e0832aadd9d4cb7a4
4,0xa117a478c2db723506c880cb7b3f4147845eb3f4
5,0x30a8f8159fd5a6748d7d0687f6c7888b5810f751
6,0xb4ee7cb0e2fcfe3e65ccf95a6e97746fc64f277a
7,0xa5ebb67e8b9b0727ec071394b303b3806bc086fb
8,0x8f656e6c1e6479d97c00cd9d54e1826c035031a2
9,0xfc6a5ecb6d1a2ce95a773bf2a8f64f10a7009bda
10,0x4ac8b2bb17a099214403368526e4f1624a8b7c14
11,0xe1cbdfcac33a45b829848d851831f35defdcd120
12,0xaa3e538931755c8bff78dea26d7dffd802f96f6e
13,0xb619e4744a140434ae480ae9255d3f9be4f68967
14,0xb5d6751e3bd02c76ba6b9230862fc761ea1468c3
15,0xa27357887bccfe264583861745a7164dd0a2caaa
16,0x1d062920c2897bf209522fdf0b9aae3f3685fc64
17,0x56c468bd9312cdab6864ac8464b870a0e845d3a5
18,0xa92d894cff1b5cc39662682614395594817b9627
19,0x3e38eb54f2ab382749738d2d7926b9c94c39e893
